R2-PINH,143.51,17.78,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.90,45.72,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,157.48,55.88,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,147.32,53.34,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,137.16,52.07,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,54.61,13.97,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,59.69,16.51,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,52.07,3.81,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,46.99,3.81,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,41.91,3.81,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,36.83,3.81,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,31.75,3.81,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,107.95,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,59.69,107.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,90.17,62.23,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.45,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,82.55,31.75,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.32,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,144.79,22.86,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,53.34,11.43,0.00,,SJ
TP1,11.43,73.66,0.00,TPTP20R,TP20R
TP10,104.14,2.09,0.00,TPTP20R,TP20R
TP11,2.09,29.21,0.00,TPTP20R,TP20R
TP12,25.40,69.85,0.00,TPTP20R,TP20R
TP13,35.56,68.58,0.00,TPTP20R,TP20R
TP14,152.40,64.77,0.00,TPTP20R,TP20R
TP15,87.63,104.14,0.00,TPTP20R,TP20R
TP16,73.66,104.14,0.00,TPTP20R,TP20R
TP17,25.40,8.89,0.00,TPTP20R,TP20R
TP2,19.05,73.66,0.00,TPTP20R,TP20R
TP3,152.40,60.96,0.00,TPTP20R,TP20R
TP4,2.54,36.83,0.00,TPTP20R,TP20R
TP5,81.28,104.14,0.00,TPTP20R,TP20R
TP6,124.46,2.09,0.00,TPTP20R,TP20R
TP7,119.38,2.09,0.00,TPTP20R,TP20R
TP8,114.30,2.09,0.00,TPTP20R,TP20R
TP9,109.22,2.09,0.00,TPTP20R,TP20R
U1,45.72,48.26,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.70,52.07,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.36,54.61,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,39.37,64.77,0.00,MAX17048G+T10,SON50P200X200X80-9N
